market_code,market_name,region,position,popularity,track_id,track_name,track_href,duration_ms,explicit,artist_id,artist_name,artist_followers,artist_popularity,artist_genres,album_id,album_name,album_type,release_date,total_tracks_in_album,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,collection_date,collection_time
AR,Argentina,LATAM,23,75,2RmtEc2ZNDCzAU3vH0AbKx,Ojos Verdes,https://open.spotify.com/track/2RmtEc2ZNDCzAU3vH0AbKx,142410,False,2UZIAOlrnyZmyzt1nuXr9y,Nicki Nicole,7711432,80,"argentine hip hop,r&b argentino,trap argentino,trap latino,urbano latino",4EeOwzI5OcHYrETtQqkmQk,Ojos Verdes,single,2024-04-24,1,0.582,0.834,4,-2.654,1,0.0394,0.224,2.67e-06,0.145,0.95,167.945,4,2024-10-31,09:03:31
AR,Argentina,LATAM,24,72,3cWo162YkfLIFyB3DWbVoH,Tu Foto - En Vivo,https://open.spotify.com/track/3cWo162YkfLIFyB3DWbVoH,180385,False,7dlkBH23ERFXxuNoMHq94Y,Q' Lokura,1239689,74,cuarteto,2zsRRXZwCOTRvF8r2m7TRv,Tu Foto,single,2024-05-16,1,0.561,0.803,11,-5.132,0,0.073,0.146,0.0,0.188,0.338,153.669,4,2024-10-31,09:03:32
AR,Argentina,LATAM,25,72,2xbH0CuDbid800YW5nMPzR,SINVERGÜENZA - con Angela Torres,https://open.spotify.com/track/2xbH0CuDbid800YW5nMPzR,217490,False,2BTS8Np1YzPQuXjgdlqsBB,Emanero,473116,71,"argentine hip hop,rap conciencia,rap underground argentino",2j4yf0X00zieL424k90UVn,SINVERGÜENZA - con Angela Torres,single,2023-12-05,4,0.764,0.738,0,-4.774,1,0.0336,0.182,0.0,0.173,0.647,93.963,4,2024-10-31,09:03:33
AR,Argentina,LATAM,26,87,6PhRhocBXP4y7NpciGmzra,Después De La 1,https://open.spotify.com/track/6PhRhocBXP4y7NpciGmzra,177600,True,1Yj5Xey7kTwvZla8sqdsdE,Cris Mj,4093373,88,"mambo chileno,trap latino,urbano chileno,urbano latino",2lIzIH2mQQ0ItgkJKefQMp,MJ,single,2024-09-12,2,0.805,0.581,6,-5.091,0,0.0601,0.0303,0.0202,0.0933,0.528,99.973,4,2024-10-31,09:03:34
AR,Argentina,LATAM,27,72,7k59eQ9b5KXWUNQIMrA7nI,Barro,https://open.spotify.com/track/7k59eQ9b5KXWUNQIMrA7nI,201052,False,1bAftSH8umNcGZ0uyV7LMg,Duki,11367985,83,"argentine hip hop,trap argentino,trap latino,trap triste,urbano latino",5dK03A4u8rzbG1XcMYCxbF,Barro,single,2024-10-17,1,0.457,0.378,4,-12.903,0,0.172,0.827,2.49e-05,0.102,0.387,85.802,4,2024-10-31,09:03:34
AR,Argentina,LATAM,28,69,1MCArCVJUgBUrBnzUoZqmq,Dimelo Mami,https://open.spotify.com/track/1MCArCVJUgBUrBnzUoZqmq,154806,False,3WMlRpW5JWuDI95TcEWt3r,Salastkbron,568725,68,pop argentino,6xKpzZVah8P8ybxXDOG4Ad,444,single,2024-06-06,5,0.83,0.782,9,-5.238,0,0.0686,0.0589,3.74e-05,0.0957,0.339,100.047,4,2024-10-31,09:03:35
AR,Argentina,LATAM,29,72,42mrOMjkQb7jRKatu0bqg4,Mil Preguntas,https://open.spotify.com/track/42mrOMjkQb7jRKatu0bqg4,166973,False,7dlkBH23ERFXxuNoMHq94Y,Q' Lokura,1239689,74,cuarteto,5BI7zRrLecwdHFZ3qzDYNR,Mil Preguntas,single,2024-04-11,1,0.641,0.907,8,-4.08,1,0.0764,0.241,0.0,0.219,0.827,76.02,4,2024-10-31,09:03:36
AR,Argentina,LATAM,30,70,4eqXTlaHeK6xkM1fRx9wR5,Conmigo Te Gustó,https://open.spotify.com/track/4eqXTlaHeK6xkM1fRx9wR5,72937,False,7yIp2QRLkQ6loIrupimiri,Pinky SD,32253,77,cumbia pop,5UecDIxoca5aq0Xko7VcuE,URIEL LOZANO / Zapada EN VIVO en UN POCO DE RUIDO!,album,2024-07-28,12,0.742,0.61,9,-9.022,1,0.0658,0.311,6.16e-06,0.0455,0.963,84.015,4,2024-10-31,09:03:37
AR,Argentina,LATAM,31,74,6Es8Sk3xe1HiJ2MXCfHHwR,La_Original.mp3,https://open.spotify.com/track/6Es8Sk3xe1HiJ2MXCfHHwR,140625,False,0AqlFI0tz2DsEoJlKSIiT9,Emilia,3704541,81,pop argentino,2qo8j9yZIsx66yDuUho2jp,.mp3,album,2023-11-03,13,0.833,0.809,5,-2.751,0,0.0381,0.0836,0.0,0.112,0.905,128.055,4,2024-10-31,09:03:38
AR,Argentina,LATAM,32,71,32fRErxI6gKskZXSbEAAAn,FANÁTICO,https://open.spotify.com/track/32fRErxI6gKskZXSbEAAAn,162139,False,22P1OY4TRFRwhP0q29loQ8,Lali,1961145,65,"argentine telepop,pop argentino",5S6TLyMgO3WBE3v8FISDOw,FANÁTICO,single,2024-09-27,1,0.692,0.919,10,-3.418,0,0.14,0.0207,0.0,0.402,0.589,125.849,4,2024-10-31,09:03:38
AR,Argentina,LATAM,33,73,0Cs2ANiGsCOQLKnCrNJ6hA,La_Playlist.mpeg,https://open.spotify.com/track/0Cs2ANiGsCOQLKnCrNJ6hA,149571,False,0AqlFI0tz2DsEoJlKSIiT9,Emilia,3704541,81,pop argentino,4hrs3KFCvbn6OWadD2qio4,La_Playlist.mpeg,single,2024-06-20,1,0.753,0.836,5,-2.584,0,0.0568,0.0184,0.0,0.11,0.891,139.949,4,2024-10-31,09:03:39
AR,Argentina,LATAM,34,74,2AFC9ad4nGauS1cgm7FCqU,UN SIGLO SIN TI,https://open.spotify.com/track/2AFC9ad4nGauS1cgm7FCqU,154800,False,4kcQWQDK0u9AftVSpdrAgk,Luck Ra,1797634,77,"trap argentino,trap triste",4SoT5hvuP9LLXZM2QuV2Pz,UN SIGLO SIN TI,single,2024-07-25,1,0.635,0.908,10,-5.332,1,0.0909,0.141,0.0,0.112,0.924,74.992,4,2024-10-31,09:03:40
AR,Argentina,LATAM,35,100,2plbrEY59IikOBgBGLjaoe,Die With A Smile,https://open.spotify.com/track/2plbrEY59IikOBgBGLjaoe,251667,False,1HY2Jd0NmPuamShAr6KMms,Lady Gaga,32416547,92,"art pop,dance pop,pop",10FLjwfpbxLmW8c25Xyc2N,Die With A Smile,single,2024-08-16,1,0.521,0.592,6,-7.777,0,0.0304,0.308,0.0,0.122,0.535,157.969,3,2024-10-31,09:03:41
AR,Argentina,LATAM,36,75,3oNnzH6hmqIGIhJ1NcHlrh,CORAZÓN VACÍO,https://open.spotify.com/track/3oNnzH6hmqIGIhJ1NcHlrh,160535,False,1DxLCyH42yaHKGK3cl5bvG,Maria Becerra,7141864,82,"pop argentino,urbano latino",3YBQyY0Bj7bpxj0VHAse0P,CORAZÓN VACÍO,single,2023-06-22,1,0.681,0.792,1,-4.795,1,0.0587,0.334,2.05e-06,0.295,0.4,98.09,4,2024-10-31,09:03:42
AR,Argentina,LATAM,37,72,1HRUB9L0IRcRHzLVD4pk6C,TERAPIA DE CHOQUE,https://open.spotify.com/track/1HRUB9L0IRcRHzLVD4pk6C,164424,False,60XHOAhvEBiV6BGBOv8ClM,La Joaqui,1933492,73,"argentine hip hop,rap latina",1iyOjIeFTikF2Tr5nqhGNc,TERAPIA DE CHOQUE,single,2024-07-17,2,0.721,0.913,1,-4.289,1,0.0492,0.128,0.0,0.115,0.883,101.991,4,2024-10-31,09:03:42
AR,Argentina,LATAM,38,72,4jn3R3KF5hx2fCiXlj89yE,FLECHAZO EN EL CENTRO,https://open.spotify.com/track/4jn3R3KF5hx2fCiXlj89yE,185241,False,2qWK8K2Jfh67UqtwY8tCW6,YSY A,3315242,75,"argentine hip hop,trap argentino",4n6BNKtpmZOYUyfecMzzpZ,TU DUO FAVORITO,album,2023-09-06,10,0.753,0.644,5,-6.685,0,0.043,0.132,1.66e-06,0.104,0.457,104.947,4,2024-10-31,09:03:43
AR,Argentina,LATAM,39,84,1pymWRCuZfCd0zdiBJo0Hj,REAL GANGSTA LOVE,https://open.spotify.com/track/1pymWRCuZfCd0zdiBJo0Hj,145342,True,2x7PC78TmgqpEIjaGAZ0Oz,Trueno,7855727,80,"argentine hip hop,bases de freestyle,trap argentino,trap latino,urbano latino",3EWJoKrG9XnCjvAPzkQZ88,EL ÚLTIMO BAILE,album,2024-05-23,13,0.831,0.643,4,-4.659,0,0.0568,0.388,6.94e-05,0.374,0.57,97.013,4,2024-10-31,09:03:44
AR,Argentina,LATAM,40,68,2wEhjcnre2PU36KQNBLXCC,SE DICE DE MI,https://open.spotify.com/track/2wEhjcnre2PU36KQNBLXCC,136000,True,2eXWodjj5K1vVq2CSjl036,DobleP,199888,69,,1hRsbHaRtaYcvPVKe1ZhvI,SE DICE DE MI,single,2024-09-11,1,0.706,0.518,2,-7.559,1,0.231,0.105,0.0,0.502,0.815,180.083,4,2024-10-31,09:03:45
AR,Argentina,LATAM,41,79,39Pc4a04VgCtcc7m0XKi9M,TAMBIÉN,https://open.spotify.com/track/39Pc4a04VgCtcc7m0XKi9M,139546,True,7iK8PXO48WeuP03g8YR51W,Myke Towers,16972727,89,"reggaeton,trap latino,urbano latino",6NmYJszy5BaEm1WF4tJL7Z,LA PANTERA NEGRA,album,2024-08-22,20,0.629,0.643,4,-6.908,1,0.205,0.291,0.0,0.106,0.928,119.944,4,2024-10-31,09:03:46
AR,Argentina,LATAM,42,78,16iLGYXMiLUhvqTEIu4pKB,3 PECADOS DESPUES…,https://open.spotify.com/track/16iLGYXMiLUhvqTEIu4pKB,118558,True,19HM5j0ULGSmEoRcrSe5x3,Milo j,4999451,83,"trap argentino,trap latino,urbano latino",6apkynw8DBUza2600Wm70t,166,album,2024-07-11,12,0.784,0.383,1,-9.166,1,0.111,0.401,1.92e-05,0.0851,0.537,110.889,3,2024-10-31,09:03:46
AR,Argentina,LATAM,43,83,6a9Z1jUms915w4O7N1PxjY,Santa,https://open.spotify.com/track/6a9Z1jUms915w4O7N1PxjY,193038,False,1fctva4kpRbg2k3v7kwRuS,Rvssian,2505121,76,"reggaeton,reggaeton flow,trap latino,urbano latino",3uzutRS5qX4ng5Skjh5S6W,Santa,single,2024-04-03,2,0.725,0.709,3,-5.017,0,0.129,0.321,0.000189,0.114,0.648,99.993,4,2024-10-31,09:03:47
